(By FIPS code),State,price_per_pack_incl_taxes,default_init_price,
Alabama  ,AL  ,8.48,8.5,
Alaska  ,AK  ,12.37,12.5,
Arizona  ,AZ  ,10.69,10.5,
Arkansas  ,AR  ,9.48,9.5,
California  ,CA  ,11.71,11.5,
Colorado  ,CO  ,10.85,11,
Connecticut  ,CT  ,13.24,13,
Delaware  ,DE  ,9.61,9.5,
DC,DC  ,13.94,14,
Florida  ,FL  ,9.07,9,
Georgia  ,GA  ,8.47,8.5,
Hawaii  ,HI  ,12.13,12,
Idaho  ,ID  ,8.65,8.5,
Illinois  ,IL  ,11.99,12,
Indiana  ,IN  ,8.69,8.5,
Iowa  ,IA  ,8.78,9,
Kansas  ,KS  ,9.37,9.5,
Kentucky  ,KY  ,8.63,8.5,
Louisiana  ,LA  ,8.87,9,
Maine  ,ME  ,10.52,10.5,
Maryland  ,MD  ,14.17,14,
Massachusetts  ,MA  ,12.54,12.5,
Michigan  ,MI  ,10.03,10,
Minnesota  ,MN  ,12.1,12,
Mississippi  ,MS  ,8.33,8.5,
Missouri  ,MO  ,8.03,8,
Montana  ,MT  ,9.22,9,
Nebraska  ,NE  ,8.56,8.5,
Nevada  ,NV  ,9.88,10,
New Hampshire  ,NH  ,9.34,9.5,
New Jersey  ,NJ  ,11.41,11.5,
New Mexico  ,NM  ,10.42,10.5,
New York  ,NY  ,14.55,14.5,
North Carolina  ,NC  ,7.95,8,
North Dakota  ,ND  ,8.24,8,
Ohio  ,OH  ,9.59,9.5,
Oklahoma  ,OK  ,9.26,9.5,
Oregon  ,OR  ,11.16,11,
Pennsylvania  ,PA  ,11.86,12,
Rhode Island  ,RI  ,13.43,13.5,
South Carolina  ,SC  ,8.5,8.5,
South Dakota  ,SD  ,9.57,9.5,
Tennessee  ,TN  ,8.44,8.5,
Texas  ,TX  ,9.46,9.5,
Utah  ,UT  ,10.16,10,
Vermont  ,VT  ,11.91,12,
Virginia  ,VA  ,9.11,9,
Washington  ,WA  ,12.13,12,
West Virginia  ,WV  ,8.75,9,
Wisconsin  ,WI  ,10.73,10.5,
Wyoming  ,WY  ,8.57,8.5,
